Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2
1230;14;VELO CLUBE/SP;CORINTHIANS/SP;Domingo;0;0;1;4,5;3;1,85
1229;1;CORINTHIANS/SP;SAO PAULO/SP;Domingo;0;1;0;2,1;3,2;3,3
1229;2;CRUZEIRO/MG;UBERLANDIA/MG;Sábado;1;0;0;1,16;5,75;15
1229;3;PALMEIRAS/SP;MIRASSOL/SP;Sábado;1;0;0;1,6;3,6;6
1229;4;VOLTA REDONDA/RJ;FLAMENGO/RJ;Sábado;1;0;0;2,45;3,1;2,87
1229;5;ATLETICO/GO;GOIAS/GO;Domingo;0;1;0;2,2;3,1;3,6
1229;6;VASCO DA GAMA/RJ;NOVA IGUACU/RJ;Domingo;0;1;0;1,55;3,75;5
1229;7;YPIRANGA/RS;INTERNACIONAL/RS;Domingo;1;0;0;3,4;3,1;2,05
1229;8;ATLETICO/MG;TOMBENSE/MG;Domingo;0;1;0;1,18;5,75;13
1229;9;FIGUEIRENSE/SC;AVAI/SC;Domingo;0;0;1;2,5;3;2,55
1229;10;FORTALEZA/CE;MARACANA/CE;Domingo;1;0;0;1,26;6,66;19
1229;11;NAUTICO/PE;SPORT/PE;Domingo;1;0;0;1,26;5,25;10
1229;12;BRAGANTINO/SP;BOTAFOGO/SP;Domingo;1;0;0;1,55;3,5;6
1229;13;SAMPAIO CORREA/RJ;BOTAFOGO/RJ;Domingo;1;0;0;2,6;3;2,6
1229;14;GUARANI/SP;SANTOS/SP;Domingo;0;1;0;4,75;3,4;1,7
1228;1;CORINTHIANS/SP;PONTE PRETA/SP;Domingo;1;0;0;1,33;4,33;11
1228;2;JUVENTUDE/RS;YPIRANGA/RS;Sábado;0;1;0;1,65;3,3;6,25
1228;3;SANTOS/SP;NOVORIZONTINO/SP;Sábado;1;0;0;1,7;3,5;4,75
1228;4;CRUZEIRO/MG;POUSO ALEGRE/MG;Sábado;0;0;1;1,45;4,5;6,25
1228;5;PORT DESPORT/SP;PALMEIRAS/SP;Sábado;0;0;1;5,5;3,4;1,7
1228;6;AVENIDA/RS;GREMIO/RS;Sábado;0;0;1;7;4;1,48
1228;7;SAO LUIZ/RS;CAXIAS/RS;Domingo;0;1;0;2,87;3;2,6
1228;8;BAHIA/BA;JEQUIE BA/BA;Domingo;1;0;0;1,18;6,5;15
1228;9;INTERNACIONAL/RS;NOVO HAMBURGO/RS;Domingo;1;0;0;1,75;3,75;4,2
1228;10;ATLETICO/MG;BETIM/MG;Domingo;0;1;0;1,45;3,9;5,75
1228;11;FERROVIARIO/CE;FORTALEZA/CE;Domingo;0;1;0;8,5;5,5;1,37
1228;12;NOROESTE/SP;BRAGANTINO/SP;Domingo;0;0;1;4,1;3,4;1,85
1228;13;FLAMENGO/RJ;PORTUGUESA/RJ;Domingo;0;1;0;2;3,1;3,9
1228;14;MIRASSOL/SP;SAO PAULO/SP;Domingo;1;0;0;2,37;3,3;2,87
1227;1;MANCHESTER CITY;CHELSEA;Domingo;0;1;0;1,65;4,5;4,5
1227;2;ESPANYOL;BARCELONA;Sábado;0;0;1;6,25;4,75;1,45
1227;3;ATALANTA BERGAMAS;ROMA;Sábado;1;0;0;2,3;3;3,5
1227;4;LEEDS UNITED;MANCHESTER UNITED;Domingo;0;1;0;2,55;3,3;2,75
1227;5;LAZIO;NAPOLI;Domingo;0;0;1;3,4;3,1;2,3
1227;6;EVERTON;BRENTFORD;Domingo;0;0;1;2,3;3,25;3,25
1227;7;FULHAM;LIVERPOOL;Domingo;0;1;0;3,6;3,6;2
1227;8;NEW CASTLE;CRYSTAL PALACE;Domingo;1;0;0;1,66;4;5
1227;9;TOTTENHAM;SUNDERLAND;Domingo;0;1;0;1,8;3,6;4,5
1227;10;FIORENTINA;CREMONESE;Domingo;1;0;0;1,72;3,5;5,25
1227;11;REAL MADRID;REAL BETIS;Domingo;1;0;0;1,45;4,75;6,25
1227;12;VERONA;TORINO;Domingo;0;0;1;2,62;3;2,9
1227;13;INTER DE MILAO;BOLOGNA;Domingo;1;0;0;1,42;4,75;7
1227;14;REAL SOCIEDAD;ATLETICO MADRID;Domingo;0;1;0;3,9;3,6;1,9
1226;1;CRYSTAL PALACE;TOTTENHAM;Domingo;0;0;1;2,2;3,25;3,3
1226;2;ARSENAL;BRIGHTON;Sábado;1;0;0;1,36;5,25;7,5
1226;3;BRENTFORD;BOURNEMOUTH;Sábado;1;0;0;2,3;3,6;2,9
1226;4;BURNLEY;EVERTON;Sábado;0;1;0;3,7;3,3;2,1
1226;5;LIVERPOOL;WOLVES;Sábado;1;0;0;1,25;6,5;9,5
1226;6;WEST HAM;FULHAM;Sábado;0;0;1;2,7;3,3;2,6
1226;7;TORINO;CAGLIARI CALCIO;Sábado;0;0;1;1,85;3,3;4,5
1226;8;CHELSEA;ASTON VILLA;Sábado;0;0;1;1,83;3,8;4,1
1226;9;UDINESE;LAZIO;Sábado;0;1;0;3,1;3;2,55
1226;10;PISA SC;JUVENTUS;Sábado;0;0;1;8;4,2;1,45
1226;11;NIGERIA;TUNISIA;Sábado;1;0;0;2,25;3,1;3,6
1226;12;MILAN;VERONA;Domingo;1;0;0;1,36;5;8,5
1226;13;SUNDERLAND;LEEDS UNITED;Domingo;0;1;0;2,62;3,1;2,75
1226;14;COSTA DO MARFIM;CAMAROES;Domingo;0;1;0;2,1;3;4,1
1225;1;VASCO DA GAMA/RJ;CORINTHIANS/SP;Domingo;0;0;1;2,42;3,05;3,55
1225;2;EVERTON;ARSENAL;Sábado;0;0;1;6,5;4,2;1,6
1225;3;JUVENTUS;ROMA;Sábado;1;0;0;2,06;3,45;4,5
1225;4;REAL MADRID;SEVILLA;Sábado;1;0;0;1,23;7,6;14,5
1225;5;GIRONA;ATLETICO MADRID;Domingo;0;0;1;5,1;3,95;1,75
1225;6;AUXERRE;MONACO;Domingo;0;0;1;7,7;5,35;1,39
1225;7;SASSUOLO;TORINO;Domingo;0;0;1;2,42;3,1;3,3
1225;8;VILLARREAL;BARCELONA;Domingo;0;0;1;4,1;4,5;1,8
1225;9;ASTON VILLA;MANCHESTER UNITED;Domingo;1;0;0;2,12;3,75;3,7
1225;10;FIORENTINA;UDINESE;Domingo;1;0;0;2,15;3,45;3,9
1225;11;ELCHE FC;RAYO VALLECANO;Domingo;1;0;0;2,58;3,05;3,25
