Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3;pred_top1;pred_top2;pred_top3;hit_rank;p_top1;p_top2;p_top3
1121;1;SAO PAULO/SP;TALLERES;Domingo;1;0;0;0,566623884;0,25421504;0,179161076;0,566623884;0,25421504;0,179161076;1;0;0;1;X;2;1;0.566624;0.254215;0.179161
1121;2;ATLETICO/MG;CARACAS;Domingo;1;0;0;0,877408271;0,086145539;0,03644619;0,877408271;0,086145539;0,03644619;1;0;0;1;X;2;1;0.877408;0.086146;0.036446
1121;3;JR BARRANQUILLA;BOTAFOGO/RJ;Domingo;0;1;0;0,345898004;0,288248337;0,365853659;0,365853659;0,345898004;0,288248337;0;0;1;2;1;X;3;0.365854;0.345898;0.288248
1121;4;CORINTHIANS/SP;RACING/URU;Domingo;1;0;0;0,702685821;0,191130543;0,106183635;0,702685821;0,191130543;0,106183635;1;0;0;1;X;2;1;0.702686;0.191131;0.106184
1121;5;AMAZONAS/AM;MIRASSOL/SP;Domingo;1;0;0;0,288897893;0,302876823;0,408225284;0,408225284;0,302876823;0,288897893;0;0;1;2;X;1;3;0.408225;0.302877;0.288898
1121;6;FLAMENGO/RJ;MILLONARIOS;Domingo;1;0;0;0,822558301;0,12722235;0,050219349;0,822558301;0,12722235;0,050219349;1;0;0;1;X;2;1;0.822558;0.127222;0.050219
1121;7;COQUIMBO UNIDO;BRAGANTINO/SP;Domingo;0;1;0;0,237170596;0,263522885;0,499306519;0,499306519;0,263522885;0,237170596;0;1;0;2;X;1;2;0.499307;0.263523;0.237171
1121;8;VILA NOVA/GO;PAYSANDU/PA;Domingo;0;0;1;0,412718236;0,313778933;0,273502831;0,412718236;0,313778933;0,273502831;0;0;1;1;X;2;3;0.412718;0.313779;0.273503
1121;9;BOCA JUNIORS;NACIONAL POTOSI;Domingo;1;0;0;0,881702598;0,085765616;0,032531786;0,881702598;0,085765616;0,032531786;1;0;0;1;X;2;1;0.881703;0.085766;0.032532
1121;10;FORTALEZA/CE;SPOR TRINIDENSE;Domingo;1;0;0;0,832247793;0,126501664;0,041250543;0,832247793;0,126501664;0,041250543;1;0;0;1;X;2;1;0.832248;0.126502;0.041251
1121;11;FLUMINENSE/RJ;ALIANZA LIMA;Domingo;1;0;0;0,634039198;0,219644064;0,146316738;0,634039198;0,219644064;0,146316738;1;0;0;1;X;2;1;0.634039;0.219644;0.146317
1121;12;PALMEIRAS/SP;SAN LORENZO;Domingo;0;1;0;0,607634635;0,238496594;0,153868771;0,607634635;0,238496594;0,153868771;0;1;0;1;X;2;2;0.607635;0.238497;0.153869
1121;13;ATHLETICO/PR;AMELIANO;Domingo;0;0;1;0,790754258;0,145985401;0,063260341;0,790754258;0,145985401;0,063260341;0;0;1;1;X;2;3;0.790754;0.145985;0.063260
1121;14;CRUZEIRO/MG;UN CAT EQUADOR;Domingo;1;0;0;0,617556242;0,224966917;0,157476842;0,617556242;0,224966917;0,157476842;1;0;0;1;X;2;1;0.617556;0.224967;0.157477
1122;1;DORTMUND;REAL MADRID;Domingo;0;0;1;0,199611147;0,225750702;0,574638151;0,574638151;0,225750702;0,199611147;1;0;0;2;X;1;1;0.574638;0.225751;0.199611
1122;2;GREMIO/RS;BRAGANTINO/SP;Domingo;0;0;1;0,325442569;0,304446274;0,370111157;0,370111157;0,325442569;0,304446274;1;0;0;2;1;X;1;0.370111;0.325443;0.304446
1122;3;VITORIA/BA;ATLETICO/GO;Domingo;0;0;1;0,451287794;0,305711086;0,24300112;0,451287794;0,305711086;0,24300112;0;0;1;1;X;2;3;0.451288;0.305711;0.243001
1122;4;BRUSQUE/SC;NOVORIZONTINO/SP;Domingo;0;1;0;0,316256555;0,29649052;0,387252925;0,387252925;0,316256555;0,29649052;0;0;1;2;1;X;3;0.387253;0.316257;0.296491
1122;5;CUIABA/MT;INTERNACIONAL/RS;Domingo;0;0;1;0,299546441;0,309209229;0,391244331;0,391244331;0,309209229;0,299546441;1;0;0;2;X;1;1;0.391244;0.309209;0.299546
1122;6;FLUMINENSE/RJ;JUVENTUDE/RS;Domingo;0;1;0;0,601817166;0,218210843;0,179971991;0,601817166;0,218210843;0,179971991;0;1;0;1;X;2;2;0.601817;0.218211;0.179972
1122;7;CORINTHIANS/SP;BOTAFOGO/RJ;Domingo;0;0;1;0,443861293;0,298219306;0,2579194;0,443861293;0,298219306;0,2579194;0;0;1;1;X;2;3;0.443861;0.298219;0.257919
1122;8;ATLETICO/MG;BAHIA/BA;Domingo;0;1;0;0,551044084;0,249419954;0,199535963;0,551044084;0,249419954;0,199535963;0;1;0;1;X;2;2;0.551044;0.249420;0.199536
1122;9;CRICIUMA/SC;PALMEIRAS/SP;Domingo;0;0;1;0,224930362;0,277855153;0,497214485;0,497214485;0,277855153;0,224930362;1;0;0;2;X;1;1;0.497214;0.277855;0.224930
