Concurso;Ganhadores_14_Acertos;Rateio_14_Acertos;Ganhadores_13_Acertos;Rateio_13_Acertos;Estimativa_Premio_Proximo_Concurso
1052;1;1249899.47;40;1655.06;300000
1051;0;0;5;14539.89;1300000
1050;0;0;1;30751.35;1000000
1049;0;0;1;48152.15;700000
1048;1327;440.91;13430;5.24;300000
1047;0;0;3;12816.33;400000
1046;57;2744.07;1670;28.67;300000
1045;41;14322.17;1157;79.07;200000
1044;3;50345.73;158;292.63;600000
1043;3;105456.15;56;1304.59;200000
1042;0;0;8;2081.66;400000
1041;1;268090.46;68;1206.88;200000
1040;15;140854.47;327;571.13;300000
1039;0;0;3;33522.58;2100000
1038;0;0;9;9372.44;1200000
1037;0;0;4;14866.34;700000
1036;38;6186.82;938;76.72;300000
1035;65;10129.33;1086;88.79;300000
1034;3;74831.93;112;613.6;700000
1033;4;442180.18;81;1575.69;300000
1032;0;0;4;19806.82;1800000
1031;0;0;1;68778.34;1500000
1030;0;0;3;19313.7;1000000
1029;13;71066.52;401;195.67;700000
1028;0;0;4;20984.21;1000000
1027;0;0;6;9851.47;600000
1026;1;557624.42;45;2655.36;300000
1025;1;1144833.42;18;4069.24;300000
1024;0;0;2;26571.89;1200000
1023;0;0;46;1596.1;500000
1022;3;452090.35;40;1910.42;300000
1021;0;0;2;34992.87;1500000
1020;0;0;3;21410.57;1000000
1019;9;26063.26;239;300.44;700000
1018;2;267526.52;90;882.51;300000
1017;0;0;0;0;500000
1016;15;190205.15;251;610.1;300000
1015;0;0;0;0;2800000
1014;0;0;9;9157.64;2200000
1013;0;0;0;0;1500000
1012;0;0;12;4675.37;900000
1011;0;0;19;2892.08;600000
1010;9;123844.57;501;225.83;300000
1009;0;0;2;27888.73;1000000
1008;0;0;3;13546.11;500000
1007;5;324738.51;70;1413.28;300000
1006;0;0;7;9084.99;1500000
1005;0;0;5;7224.73;1100000
1004;0;0;2;27347.55;900000
1003;0;0;2;18405.79;400000
1002;1;1703088.66;71;1086.17;300000
1001;0;0;2;39734.84;1800000
1000;0;0;2;22338.45;1400000
999;0;0;0;0;1100000
998;0;0;1;25213.22;700000
997;0;0;2;21373.56;400000
996;0;0;0;0;300000
995;1;397379.95;34;1353.09;200000
994;15;7686.01;461;76.55;400000
993;1;206909.36;29;1528.89;200000
992;1339;434.82;13461;4.78;200000
991;0;0;1;42285.09;300000
990;8;60009.39;193;194.76;200000
989;0;0;1;40834.58;500000
988;1;290790.9;20;1895.11;200000
987;0;0;2;17890.38;300000
986;2;49952.23;16;1338.01;200000
985;7;57894.53;267;225.6;200000
984;1;481246.11;58;927.28;500000
983;0;0;2;24304.1;500000
982;0;0;14;1721.23;300000
981;3;80648.83;140;529.03;200000
980;2;246400.68;41;1864.72;300000
979;1;222802.36;43;1586.15;600000
978;31;6493.58;646;95.39;300000
977;31;14598.56;580;126.38;300000
976;0;0;0;0;500000
975;1;957405.14;75;1204.85;300000
974;0;0;6;8786.22;1000000
973;0;0;1;37596.93;500000
972;2;106336.5;35;1860.11;300000
971;1;158497.02;1;33963.65;300000
970;1;1016934.03;23;3082.54;300000
969;0;0;2;20476.88;1000000
968;0;0;0;0;600000
967;1;205702.46;22;2003.59;300000
966;3;71203.47;49;1334.5;300000
965;2;356823.34;71;1479.61;300000
964;4;60849.3;90;827.88;700000
963;9;25295.17;299;233.07;300000
962;5;373556.92;138;1016.76;300000
961;0;0;6;14497.24;2000000
960;0;0;15;5622.05;1500000
959;0;0;5;10297.98;1000000
958;1;770119.55;11;7860.19;300000
957;0;0;0;0;800000
956;1;282349.73;22;2750.16;300000
955;8;179205.6;303;502.21;300000
954;0;0;1;53130.03;1300000
953;0;0;1;46974.48;500000
952;1;3.633.295,00;35;3687.05;300000
951;0;0;1;129858.27;3800000
950;0;0;3;36794.72;3000000
949;0;0;0;0;2500000
948;0;0;3;27034.8;1600000
947;0;0;8;9059.68;1100000
946;0;0;0;0;700000
945;1;1152041.03;117;983.87;300000
944;1;265769.52;20;2847.53;1000000
943;1;6206587.13;16;14027.58;300000
942;0;0;4;47133.77;6000000
941;0;0;17;10067.19;5300000
940;0;0;19;7101.83;4200000
939;0;0;0;0;3500000
938;0;0;0;0;2300000
937;0;0;0;0;1800000
936;0;0;0;0;1500000
935;0;0;3;18820.06;1100000
934;0;0;1;33413.11;1000000
933;0;0;3;17246.51;400000
932;1;408506.66;14;2227.37;250000
931;0;0;0;0;400000
930;61;11122.23;2082;52.04;300000
929;19;47877.28;645;196.98;700000
928;0;0;9;7464.06;900000
927;0;0;19;2042.91;500000
926;9;164597.01;296;331.3;300000
925;0;0;3;20297.86;1500000
924;0;0;0;0;1300000
923;0;0;4;12934.57;600000
922;1;530182.31;4;15114.03;300000
921;0;0;22;2416.11;600000
920;1;973259.96;10;8626.08;300000
919;3;1132064.32;68;2029.34;900000
918;0;0;12;10742.02;3500000
917;0;0;51;2359.79;2700000
916;0;0;2;49804.47;2200000
915;0;0;0;0;1600000
914;5;208234.76;224;536.65;1000000
913;0;0;2;37632.71;1100000
912;0;0;1;63696.14;700000
911;2;2887362.94;67;3545.84;300000
