Aposta1;Aposta2;Aposta3;Aposta4
1;1, X;1;1, X, 2
1, X;1, X, 2;1, X;X, 2
1, X;1;1, X;1
1;1;1;1, X
X, 2;2;X, 2;1, X
X, 2;X, 2;X, 2;1
X, 2;1, X, 2;1, 2;1, X, 2
1;1;1;1
1;1;1, X;2
1;1;1;X
X, 2;X, 2;1, 2;1, X, 2
X, 2;X, 2;X, 2;2
1, X;1;1;1, X
1, X;1, X, 2;1, 2;2
