Concurso;Jogo;Gols_Home;Mandante;Visitante;Gols_Away;Mando;[1];[x];[2];Odds 1;Odds X;Odds 2;Home_Last5_Home;Away_Last5_Away;P(1);P(X);P(2);Resultado;Form_Diff_Last5;Is_Home;Home_Fav;Market_Signal;Market_vs_Form;Prob_Gap;Market_Pmax;Market_Entropy;Odds_Ratio_1_2;Log_Odds_Ratio_1_2;Home_Prob_Gap
1197;6;2.0;RIO BRANCO/ES;REAL NOROESTE/ES;3.0;Mandante;0;0;1;1.9;3.2;3.6;0.0;0.0;0.4713584288052373;0.27986906710310966;0.24877250409165305;2;0.0;1;1;1;0.0;0.19148936170212766;0.4713584288052373;1.057016884523901;0.5277777777777778;-0.6390799592896695;0.19148936170212766
1197;7;1.0;PACHUCA;RED BULL SALZBURG;2.0;Neutro;0;0;1;2.75;3.4;2.5;0.0;0.0;0.3437815975733064;0.27805864509605666;0.37815975733063706;2;0.0;0;0;-1;-0.0;0.03437815975733066;0.37815975733063706;1.090703199085996;1.1;0.09531017980432493;0.0
1197;8;1.0;LINHARES/ES;CAPIXABA/ES;3.0;Mandante;0;0;1;3.75;5.0;1.88;0.0;0.0;0.26704545454545453;0.2002840909090909;0.5326704545454546;2;0.0;1;0;-1;-0.0;0.26562500000000006;0.5326704545454546;1.0101540759105192;1.9946808510638299;0.6904840631404616;0.26562500000000006
1197;9;0.0;AL-AIN FC;JUVENTUS;5.0;Neutro;0;0;1;13.0;6.5;1.2;0.0;0.0;0.07228915662650603;0.14457831325301207;0.783132530120482;2;0.0;0;0;-1;-0.0;0.6385542168674699;0.783132530120482;0.6609537504949022;10.833333333333334;2.3826278006675823;0.0
1197;10;2.0;PALMEIRAS/SP;AL-AHLY SPORTING;0.0;Neutro;1;0;0;1.6;3.7;6.0;0.0;0.0;0.5885471898197243;0.2545068928950159;0.1569459172852598;1;0.0;0;0;1;0.0;0.33404029692470844;0.5885471898197243;0.9509029090932262;0.26666666666666666;-1.3217558399823195;0.0
1197;11;1.0;TREZE/PB;SANTA CRUZ/RN;2.0;Mandante;0;0;1;1.6;3.7;5.0;0.0;0.0;0.5706354102405923;0.24676125848241826;0.18260333127698955;2;0.0;1;1;1;0.0;0.323874151758174;0.5706354102405923;0.9759364461514022;0.32;-1.1394342831883648;0.323874151758174
1197;12;2.0;INTER MIAMI;FC PORTO;1.0;Neutro;1;0;0;5.25;3.9;1.6;0.0;0.0;0.177701836821871;0.23921401110636484;0.5830841520717642;1;0.0;0;0;-1;-0.0;0.34387014096539936;0.5830841520717642;0.9637066336348443;3.28125;1.1882244473577968;0.0
1197;13;1.0;SEATTLE SOUNDERS;ATLETICO MADRID;3.0;Neutro;0;0;1;11.0;5.25;1.28;0.0;0.0;0.08555060471037555;0.17924888605983447;0.7352005092297899;2;0.0;0;0;-1;-0.0;0.5559516231699554;0.7352005092297899;0.7446205185563415;8.59375;2.1510351948668447;0.0
1197;14;0.0;PSG;BOTAFOGO/RJ;1.0;Neutro;0;0;1;1.18;6.5;15.0;0.0;0.0;0.7935216082037927;0.14405469195084236;0.06242369984536501;2;0.0;0;0;1;0.0;0.6494669162529503;0.7935216082037927;0.6357877517060364;0.07866666666666666;-2.5425357626246368;0.0
1196;1;0.0;PALMEIRAS/SP;FC PORTO/PRT;0.0;Neutro;0;1;0;2.55;3.25;2.75;0.0;0.0;0.36874677668901495;0.2893243940175348;0.3419288292934502;X;0.0;0;0;1;0.0;0.026817947395564756;0.36874677668901495;1.0936423202670587;0.9272727272727272;-0.07550755250814517;0.0
1196;2;2.0;CRB/AL;GOIAS/GO;0.0;Mandante;1;0;0;2.45;2.9;3.2;0.0;0.0;0.38307533539731675;0.3236326109391125;0.2932920536635707;1;0.0;1;1;1;0.0;0.059442724458204255;0.38307533539731675;1.0924228124107571;0.765625;-0.26706278524904525;0.059442724458204255
1196;3;1.0;ITUANO/SP;SAO BERNARDO/SP;1.0;Mandante;0;1;0;2.7;2.8;2.7;0.0;0.0;0.3373493975903615;0.32530120481927716;0.3373493975903615;X;0.0;1;0;1;0.0;0.0;0.3373493975903615;1.0984665360866184;1.0;0.0;0.0
1196;4;0.0;PONTE PRETA/SP;ABC/RN;0.0;Mandante;0;1;0;1.66;3.0;6.0;0.0;0.0;0.5464480874316939;0.30236794171220394;0.15118397085610197;X;0.0;1;1;1;0.0;0.24408014571949;0.5464480874316939;0.977518321817064;0.27666666666666667;-1.284941866859603;0.24408014571949
1196;5;2.0;ATHLETICO/PR;REMO/PA;1.0;Mandante;1;0;0;1.7;3.6;4.75;0.0;0.0;0.546413165042339;0.25802843904777123;0.19555839590988974;1;0.0;1;1;1;0.0;0.2883847259945678;0.546413165042339;0.9989195106984883;0.35789473684210527;-1.0275163669843794;0.2883847259945678
1196;6;0.0;ANAPOLIS/GO;RETRO BRASIL/PE;0.0;Mandante;0;1;0;2.2;3.0;3.3;0.0;0.0;0.4166666666666667;0.3055555555555556;0.2777777777777778;X;0.0;1;1;1;0.0;0.1111111111111111;0.4166666666666667;1.0828674954767856;0.6666666666666667;-0.4054651081081643;0.1111111111111111
1196;7;2.0;ATHLETIC CLUB/MG;OPERARIO/PR;1.0;Mandante;1;0;0;2.45;3.0;3.1;0.0;0.0;0.3835842441740565;0.3132604660754795;0.303155289750464;1;0.0;1;1;1;0.0;0.07032377809857698;0.3835842441740565;1.0929755659722429;0.7903225806451614;-0.23531408693446484;0.07032377809857698
